School Year,District Code,District Name,PK-12 Student Count,Total Days in Session,Attendance Rate,Truancy Rate,Total Days Attended,Total Days Excused,Total Days Unexcused,Total Days Possible," Truant 4 or More Days in a Month, Truant 10 or More Days in a Year, or Both ",Not Truant,
2024-2025,0010,Mapleton 1,7479,170,90.5%,5.0%,1060638.5,51698.5,59046,1171383,1840,5639,
2024-2025,0020,Adams 12 Five Star Schools,36380,166,90.0%,5.0%,4910820,269989,272944,5453753,9273,27107,
2024-2025,0030,Adams County 14,5846,177,87.9%,9.1%,792014,27398,81598,901010,2092,3754,
2024-2025,0040,School District 27J,25344,175,91.4%,3.8%,3315293.5,173047.5,139081.5,3627422.5,3667,21677,
2024-2025,0050,Bennett 29J,1854,168,92.4%,2.8%,239583,12576.5,7181,259340.5,177,1677,
2024-2025,0060,Strasburg 31J,1249,148,91.9%,1.5%,151086,11198,2436,164413,*,1249,
2024-2025,0070,Westminster Public Schools,8403,175,89.0%,8.1%,1162805,38119,106031,1306955,2789,5614,
2024-2025,0100,Alamosa RE-11J,2119,148,93.0%,1.8%,277657,15520,5303,298480,171,1948,
2024-2025,0110,Sangre De Cristo Re-22J,271,141,92.9%,1.2%,32568.6,2056.2,420,35050,*,258,
2024-2025,0120,Englewood 1,2629,169,88.5%,6.0%,346445.5,21507.5,23345,391298,502,2127,
2024-2025,0123,Sheridan 2,990,190,90.4%,5.8%,142024.5,6001.5,9098,157124,224,766,
2024-2025,0130,Cherry Creek 5,53108,182,92.0%,2.9%,7882494,439176,247344,8569014,8847,44261,
2024-2025,0140,Littleton 6,13336,175,93.7%,1.7%,2056949,99412,38325.5,2194686.5,837,12499,
2024-2025,0170,Deer Trail 26J,335,144,92.5%,1.5%,39558.5,2542.5,657,42758,*,320,
2024-2025,0180,Adams-Arapahoe 28J,41835,177,89.1%,6.5%,5428512,262732.5,398448,6089692.5,10195,31640,
2024-2025,0190,Byers 32J,10208,190,94.2%,1.9%,1281938,53042.5,26448,1361428.5,644,9564,
2024-2025,0220,Archuleta County 50 Jt,1676,171,90.1%,3.8%,227525,15517.5,9521.5,252564,327,1349,
2024-2025,0230,Walsh RE-1,179,130,95.4%,0.1%,21591.7,1007.1,31.9,22628,*,179,
2024-2025,0240,Pritchett RE-3,65,143,93.0%,0.0%,7837,592,-,8426,*,65,
2024-2025,0250,Springfield RE-4,303,144,90.6%,1.9%,34681.9,2878.1,708.4,38267.8,*,303,
2024-2025,0260,Vilas RE-5,51,143,94.4%,2.1%,6493,240,146,6879,*,48,
2024-2025,0270,Campo RE-6,57,147,95.4%,0.0%,7305.5,351.5,2,7659,*,57,
2024-2025,0290,Las Animas RE-1,1028,154,88.3%,9.8%,118461.5,2546,13148,134155,76,952,
2024-2025,0310,McClave Re-2,233,145,93.5%,2.4%,31117,1383.05,788,33288,*,233,
2024-2025,0470,St Vrain Valley RE1J,33339,200,92.6%,2.2%,5103481.7,286351.4,119014.5,5508847.5,2240,31099,
2024-2025,0480,Boulder Valley Re 2,28610,199,93.5%,1.4%,4396169,243920,64211.5,4704300.5,1212,27398,
2024-2025,0490,Buena Vista R-31,976,163,94.0%,3.1%,141165,4409,4607.5,150181.5,147,829,
2024-2025,0500,Salida R-32,1402,149,92.6%,2.0%,183748.5,10671.5,3984,198404,168,1234,
2024-2025,0510,Kit Carson R-1,116,154,91.3%,2.7%,14149.5,923.5,420,15493,*,107,
2024-2025,0520,Cheyenne County Re-5,178,140,95.4%,0.3%,23325.5,1038,84.5,24448,*,178,
2024-2025,0540,Clear Creek RE-1,679,150,91.9%,1.7%,86884.5,6068,1638,94590.5,27,652,
2024-2025,0550,North Conejos RE-1J,943,140,93.0%,1.1%,117119.5,7435,1388,125942.5,34,909,
2024-2025,0560,Sanford 6J,390,141,93.5%,2.1%,49015,2273,1108,52396,38,352,
2024-2025,0580,South Conejos RE-10,220,145,87.9%,4.4%,24698,2152,1242,28092,45,175,
2024-2025,0640,Centennial R-1,191,144,87.3%,5.0%,20079,1779,1142,23000,43,148,
2024-2025,0740,Sierra Grande R-30,326,143,91.7%,3.6%,39732,1999,1579.5,43310.5,32,294,
2024-2025,0770,Crowley County RE-1-J,348,145,91.3%,7.0%,43056,768,3317,47141,164,184,
2024-2025,0860,Custer County School District C-1,330,144,93.6%,1.7%,40084,2003,735.5,42822.5,*,320,
2024-2025,0870,Delta County 50(J),4720,172,92.8%,1.8%,691838.5,40729,13117,745684.5,*,4720,
2024-2025,0880,Denver County 1,95627,177,89.2%,6.6%,13544543,637556,1001240,15183339,29948,65679,
2024-2025,0890,Dolores County RE No.2,278,143,92.0%,0.0%,33764,2954,-,36718,*,278,
2024-2025,0900,Douglas County Re 1,62697,177,93.7%,1.4%,9433925.7,496327.1,139077.5,10069330.5,2240,60457,
2024-2025,0910,Eagle County RE 50,6558,180,91.5%,1.8%,990784.5,73260.5,18991.5,1083036.5,*,6558,
2024-2025,0920,Elizabeth School District,2756,163,92.2%,1.4%,345323,23824.5,5342,374489.5,87,2669,
2024-2025,0930,Kiowa C-2,315,138,91.6%,2.4%,36854,2396.5,985.5,40240,*,302,
2024-2025,0940,Big Sandy 100J,346,147,94.7%,0.6%,45271.5,2255.5,279.5,47806.5,*,344,
2024-2025,0950,Elbert 200,288,118,93.3%,2.8%,30882.5,1310.5,912,33105,33,255,
2024-2025,0960,Agate 300,98,143,96.5%,2.7%,11628.5,89,330,12047.5,*,92,
2024-2025,0970,Calhan RJ-1,439,145,94.1%,5.9%,54115,-,3410,57529,*,439,
2024-2025,0980,Harrison 2,13211,178,90.4%,5.2%,1752230.9,84324,101758.6,1938313.5,2350,10861,
2024-2025,0990,Widefield 3,9947,170,91.8%,1.2%,1363104.5,103874,18410.5,1485389,510,9437,
2024-2025,1000,Fountain 8,8850,184,91.4%,4.4%,1196648,54520.5,58175.5,1309344,1683,7167,
2024-2025,1010,Colorado Springs 11,24751,189,87.7%,5.6%,3267416.8,252340.3,208137.5,3727751.2,4371,20380,
2024-2025,1020,Cheyenne Mountain 12,3922,187,94.8%,0.4%,586002.5,29557.5,2424,617984,61,3861,
2024-2025,1030,Manitou Springs 14,1193,162,94.0%,0.9%,173077.1,9452.7,1638.6,184168,48,1145,
2024-2025,1040,Academy 20,27304,174,93.3%,1.4%,3902351.5,221414,56896.5,4180662,1583,25721,
2024-2025,1050,Ellicott 22,1075,144,92.6%,2.3%,127570,7412,3203,137749,102,973,
2024-2025,1060,Peyton 23 Jt,614,148,94.6%,1.3%,81173,3456,1153,85782,*,602,
2024-2025,1070,Hanover 28,301,140,88.3%,4.4%,30900,2575,1531,35006,62,239,
2024-2025,1080,Lewis-Palmer 38,6718,166,94.2%,1.4%,925539.1,44000.5,13321.4,982861,320,6398,
2024-2025,1110,District 49,28149,193,92.6%,2.9%,3761567,180380,119436,4061383,3575,24574,
2024-2025,1120,Edison 54 JT,93,146,96.0%,1.4%,11514,316,164,11994,*,87,
2024-2025,1130,Miami/Yoder 60 JT,426,148,93.6%,2.0%,51202.5,2379.5,1112,54694,*,426,
2024-2025,1140,Canon City RE-1,3165,162,92.9%,2.1%,437594,23662.5,9810,471066.5,234,2931,
2024-2025,1150,Fremont RE-2,1267,148,91.5%,3.0%,156103.5,9457.5,5064.5,170625.5,157,1110,
2024-2025,1160,Cotopaxi RE-3,168,145,91.4%,3.1%,19783.9,1190,668.6,21643,*,164,
2024-2025,1180,Roaring Fork RE-1,6015,173,92.2%,3.8%,892263.5,38445.5,37094.5,967803.5,1198,4817,
2024-2025,1195,Garfield Re-2,4994,161,93.6%,2.0%,655302.1,31089.4,13928.6,700250,*,4994,
2024-2025,1220,Garfield 16,1321,153,92.6%,3.6%,167229.5,6962.5,6455,180647,180,1141,
2024-2025,1330,Gilpin County RE-1,413,151,90.1%,2.7%,52976,4205,1605.1,58787,52,361,
2024-2025,1340,West Grand 1-JT,414,145,91.7%,6.2%,50902,1171,3450,55523,188,226,
2024-2025,1350,East Grand 2,1359,145,90.5%,1.7%,166250,14265,3203,183718,100,1259,
2024-2025,1360,Gunnison Watershed RE1J,2165,171,91.8%,1.5%,322135,23671,5247,351053,131,2034,
2024-2025,1380,Hinsdale County RE 1,78,144,92.7%,0.2%,9562,737.5,20,10320,*,78,
2024-2025,1390,Huerfano Re-1,490,141,89.3%,3.6%,54968.5,4358.3,2206.2,61533,*,490,
2024-2025,1400,La Veta Re-2,252,141,89.0%,2.5%,28354,2732,789,31875,28,224,
2024-2025,1410,North Park R-1,153,148,90.4%,1.2%,18539.5,1722,237,20499,*,144,
2024-2025,1420,Jefferson County R-1,77445,205,91.6%,2.8%,11182828,690124,340655,12213607,6961,70484,
2024-2025,1430,Eads RE-1,205,150,95.8%,0.3%,27970,1135.5,96.5,29202,*,205,
2024-2025,1440,Plainview RE-2,*,148,94.3%,1.5%,4298,190,69,4557,*,32,
2024-2025,1450,Arriba-Flagler C-20,192,149,93.4%,0.6%,25626,1640.5,159.5,27429,*,188,
2024-2025,1460,Hi-Plains R-23,105,143,91.9%,0.6%,12802,1040,83,13925,*,103,
2024-2025,1480,Stratton R-4,205,140,95.7%,0.2%,25466.5,1089.5,54,26610,*,205,
2024-2025,1490,Bethune R-5,108,145,91.4%,0.4%,12734.2,1142.6,55.6,13928.9,*,108,
2024-2025,1500,Burlington RE-6J,786,144,91.0%,2.9%,94932,6435,2980,104347,102,684,
2024-2025,1510,Lake County R-1,1004,162,91.7%,2.4%,136185.7,8862.2,3559,148583.9,*,1004,
2024-2025,1520,Durango 9-R,4458,165,91.4%,3.3%,616028,35892.5,22100.5,674021,693,3765,
2024-2025,1530,Bayfield 10 Jt-R,1227,147,90.0%,1.9%,153806,13785.5,3313,170904.5,*,1227,
2024-2025,1540,Ignacio 11 JT,656,144,89.6%,2.2%,80489.5,7379,1975.5,89844,52,604,
2024-2025,1550,Poudre R-1,30405,177,90.6%,3.1%,4549169.2,315059.5,154378.7,5018388.9,3120,27285,
2024-2025,1560,Thompson R2-J,15061,172,92.0%,2.6%,2168191.5,127640.5,60242,2356074,1304,13757,
2024-2025,1570,Estes Park R-3,1004,166,91.7%,2.4%,134683,8763.5,3458.5,146905,180,824,
2024-2025,1580,Trinidad 1,685,160,93.3%,4.0%,96645.5,2857.5,4126,103629,135,550,
2024-2025,1590,Primero Reorganized 2,220,142,92.4%,4.9%,27975.1,816.5,1474.3,30261,31,189,
2024-2025,1600,Hoehne Reorganized 3,289,145,94.2%,1.5%,37043.5,1682,588.5,39314,*,280,
2024-2025,1620,Aguilar Reorganized 6,135,139,91.7%,7.2%,15522,194,1220,16936,38,97,
2024-2025,1750,Branson Reorganized 82,499,142,99.1%,0.1%,61161.5,508,43,61712.5,*,499,
2024-2025,1760,Kim Reorganized 88,*,22,95.2%,0.8%,475,21,4,499,*,24,
2024-2025,1780,Genoa-Hugo C113,231,141,94.1%,0.0%,29120.5,1823.5,8,30952,*,231,
2024-2025,1790,Limon RE-4J,468,141,94.0%,0.6%,57161,3258,381,60800,*,458,
2024-2025,1810,Karval RE-23,*,11,100.0%,0.0%,341,-,-,341,*,31,
2024-2025,1828,Valley RE-1,2026,150,92.6%,2.0%,259015,15234,5558,279807,154,1872,
2024-2025,1850,Frenchman RE-3,227,147,95.8%,0.6%,30848,1163,186,32197,*,224,
2024-2025,1860,Buffalo RE-4J,320,158,92.0%,0.4%,45361,3740,184,49285,*,319,
2024-2025,1870,Plateau RE-5,206,163,91.6%,0.1%,28907,2612,25,31544,*,206,
2024-2025,1980,De Beque 49JT,193,148,90.7%,2.6%,24285.4,1808.8,684.9,26780,*,193,
2024-2025,1990,Plateau Valley 50,322,217,92.9%,2.0%,40125,2190,869,43184,23,299,
2024-2025,2000,Mesa County Valley 51,20674,179,89.2%,4.7%,2952383,203595,154610,3310588,3892,16782,
2024-2025,2010,Creede School District,95,145,91.7%,2.9%,12157,718,387,13262,24,71,
2024-2025,2020,Moffat County RE: No 1,1940,153,90.9%,3.0%,238078,16021.5,7852.5,261952,217,1723,
2024-2025,2035,Montezuma-Cortez RE-1,2554,149,89.6%,3.7%,304891.2,22785.3,12619.6,340296,484,2070,
2024-2025,2055,Dolores RE-4A,626,146,91.5%,1.8%,78490,5750,1569,85809,64,562,
2024-2025,2070,Mancos Re-6,537,144,90.0%,1.2%,63553.5,6264,820,70637.5,*,537,
2024-2025,2180,Montrose County RE-1J,6249,167,90.6%,3.6%,870909.5,56649,34202,961760.5,729,5520,
2024-2025,2190,West End RE-2,266,148,88.4%,2.6%,31165,3174.5,916.5,35256,16,250,
2024-2025,2395,Brush RE-2(J),1452,145,92.3%,2.2%,182595,10860,4298,197753,149,1303,
2024-2025,2405,Fort Morgan Re-3,3615,150,91.9%,2.8%,464529.5,26802,14287,505618.5,372,3243,
2024-2025,2505,Weldon Valley RE-20(J),219,144,95.5%,1.5%,29121.5,922.5,448,30492,*,210,
2024-2025,2515,Wiggins RE-50(J),872,145,93.6%,0.7%,112327,6812,882.5,120021.5,16,856,
2024-2025,2520,East Otero R-1,1322,145,90.2%,2.9%,158818,12059.5,5120,175997.5,124,1198,
2024-2025,2530,Rocky Ford R-2,623,147,91.2%,2.7%,76259,5129,2238,83626,66,557,
2024-2025,2535,Manzanola 3J,187,142,89.2%,2.7%,22062,2019,666,24747,21,166,
2024-2025,2540,Fowler R-4J,352,164,91.2%,1.0%,50294.1,4258.3,556.2,55118,*,338,
2024-2025,2560,Cheraw 31,214,142,91.2%,1.1%,26783.5,2247,333,29363.5,16,198,
2024-2025,2570,Swink 33,294,140,92.9%,0.2%,36896,2747,62.5,39706,*,294,
2024-2025,2580,Ouray R-1,193,167,90.7%,2.0%,27684,2228,620,30532,30,163,
2024-2025,2590,Ridgway R-2,318,200,92.8%,1.9%,50168,2888.5,1015.5,54072,*,318,
2024-2025,2600,Platte Canyon 1,727,152,94.0%,1.0%,95187.5,5087.5,997,101272,19,708,
2024-2025,2610,Park County RE-2,649,142,91.0%,1.7%,72282,5740,1382,79404,57,592,
2024-2025,2620,Holyoke Re-1J,547,145,94.1%,1.0%,69658.5,3614,747,74019.5,24,523,
2024-2025,2630,Haxtun RE-2J,313,145,95.0%,0.6%,39989,1842,260,42091,*,304,
2024-2025,2640,Aspen 1,1654,183,91.0%,3.0%,249316.4,16512,8200.6,274029,200,1454,
2024-2025,2650,Granada RE-1,215,143,93.2%,0.2%,26548.5,1900.5,51,28500,*,215,
2024-2025,2660,Lamar Re-2,1446,149,92.4%,1.9%,184355.5,11309,3856.5,199521,113,1333,
2024-2025,2670,Holly RE-3,288,165,98.6%,1.4%,42134.5,-,609.6,42744.1,*,288,
2024-2025,2680,Wiley RE-13 Jt,273,143,95.0%,2.8%,34441,780,1014,36235,37,236,
2024-2025,2690,Pueblo City 60,14601,153,89.4%,5.5%,1757136,100058,108806.5,1966000.5,2970,11631,
2024-2025,2700,Pueblo County 70,10837,160,91.3%,2.3%,1375905,96150,34786,1506841,120,10717,
2024-2025,2710,Meeker RE-1,702,145,93.1%,0.4%,91405,6357.5,366.5,98129,*,702,
2024-2025,2720,Rangely RE-4,482,145,92.8%,1.4%,61588.5,3825.5,918.5,66332.5,*,482,
2024-2025,2730,Upper Rio Grande School District C-7,374,139,92.3%,1.8%,43150.5,2778,842.5,46771,19,355,
2024-2025,2740,Monte Vista C-8,1017,146,93.2%,1.8%,130064.5,6938.5,2569.5,139572.5,75,942,
2024-2025,2750,Sargent RE-33J,305,147,92.3%,2.6%,39663,2193,1102,42958,38,267,
2024-2025,2760,Hayden RE-1,461,143,93.1%,2.7%,57356.5,2579.5,1681,61617,*,461,
2024-2025,2770,Steamboat Springs RE-2,2603,169,93.5%,2.5%,387599,16175,10559,414333,507,2096,
2024-2025,2780,South Routt RE 3,332,144,91.8%,0.9%,42528,3378,420,46326,*,319,
2024-2025,2790,Mountain Valley RE 1,217,141,94.2%,0.5%,16482,925.4,95.8,17503.2,*,217,
2024-2025,2800,Moffat 2,226,153,87.9%,3.4%,23298,2307,902,26507,36,190,
2024-2025,2810,Center 26 JT,637,144,93.0%,1.7%,77881.5,4399,1426,83706.5,23,614,
2024-2025,2820,Silverton 1,72,158,93.7%,0.0%,9661,650,-,10311,*,72,
2024-2025,2830,Telluride R-1,857,172,91.9%,2.4%,126012.6,7820,3232.2,137059.1,*,857,
2024-2025,2840,Norwood R-2J,205,150,91.6%,1.6%,24861,1852,441,27154,*,192,
2024-2025,2862,Julesburg Re-1,920,177,89.7%,8.9%,112103.1,1773.2,11119.7,124996,*,920,
2024-2025,2865,Revere School District,147,141,94.3%,0.9%,18352,941,171,19464,*,140,
2024-2025,3000,Summit RE-1,3575,172,90.9%,2.1%,532185,40950.7,12269.3,585346.5,256,3319,
2024-2025,3010,Cripple Creek-Victor RE-1,299,140,88.9%,3.4%,32028,2793,1215.5,36036.5,35,264,
2024-2025,3020,Woodland Park Re-2,1953,165,93.3%,1.7%,268175.5,14557.5,4750,287483,95,1858,
2024-2025,3030,Akron R-1,427,146,93.6%,0.5%,55890,3475,322,59687,*,417,
2024-2025,3040,Arickaree R-2,93,138,93.2%,1.4%,10544,604,156.5,11308,*,90,
2024-2025,3050,Otis R-3,198,148,44.1%,0.2%,12251.5,15451,57.5,27760,*,197,
2024-2025,3060,Lone Star 101,122,146,95.6%,0.5%,16572,662,94,17328,*,120,
2024-2025,3070,Woodlin R-104,81,141,92.1%,1.5%,9352,648,149,10149,*,78,
2024-2025,3080,Weld County RE-1,1810,154,91.8%,2.9%,242046,14224,7537,263807,154,1656,
2024-2025,3085,Eaton RE-2,2039,170,94.6%,0.7%,316961,15889,2201.5,335051.5,65,1974,
2024-2025,3090,Weld County School District RE-3J,2796,165,90.8%,4.8%,379422.5,18654.5,19985.5,418062.5,580,2216,
2024-2025,3100,Weld RE-4,9023,173,93.6%,1.4%,1357562,72194,20946,1450702,642,8381,
2024-2025,3110,Johnstown-Milliken RE-5J,4043,172,93.8%,2.1%,606356,26784.5,13263.5,646404,359,3684,
2024-2025,3120,Greeley 6,24353,170,90.0%,5.2%,3360862,177513.5,193860.5,3732236,4429,19924,
2024-2025,3130,Platte Valley RE-7,1236,167,94.1%,1.5%,178288,8339,2911,189538,101,1135,
2024-2025,3140,Weld Re-8 Schools,2637,167,89.7%,4.6%,363297,22931,18578.5,404806.5,320,2317,
2024-2025,3145,Ault-Highland RE-9,1033,172,92.0%,2.4%,150944,9194,3945,164083,130,903,
2024-2025,3146,Briggsdale RE-10,181,149,94.3%,0.8%,24035,1248.5,214,25497.5,*,178,
2024-2025,3147,Prairie RE-11,157,142,95.3%,0.7%,20777,885.5,144.5,21807,*,155,
2024-2025,3148,Pawnee RE-12,66,145,93.1%,0.4%,7835.5,548.5,33.5,8417.5,*,66,
2024-2025,3200,Yuma 1,844,146,92.2%,2.8%,107677,5947,3217,116841,126,718,
2024-2025,3210,Wray RD-2,764,159,91.0%,2.3%,105977.5,7838.5,2676,116492,*,764,
2024-2025,3220,Idalia RJ-3,149,152,96.6%,3.2%,21193,27,712,21932,*,149,
2024-2025,3230,Liberty J-4,78,145,93.6%,1.0%,9630,558,101,10289,*,72,
2024-2025,8001,Charter School Institute,21228,186,91.2%,3.4%,2857235.7,167434,107845.3,3132515,2384,18844,
2024-2025,9000,Colorado School for the Deaf and Blind,164,177,89.3%,2.3%,23818.5,2241.5,600,26660,19,145,
2024-2025,9035,Centennial BOCES,169,173,86.1%,13.9%,15606.5,-,2526.5,18133,*,168,
2024-2025,9050,San Juan BOCES,66,175,99.8%,0.0%,9394,20,-,9414,*,66,
2024-2025,9130,Expeditionary BOCES,381,168,95.7%,0.5%,59762,2359,303.5,62424.5,*,370,
2024-2025,9170,Education reEnvisioned BOCES,11391,199,93.2%,4.2%,1472146,41209,66651,1580006,2085,9306,
2024-2025,9175,Colorado River BOCES,194,146,100.0%,0.0%,28223,-,-,28223,*,194,