LEA,LEA Name,Position Category,Rural Status,2023-2024 Headcount,2024-2025 Headcount,Difference,People Returned,People Left ,New People,Turnover Rate,
0010,Mapleton 1,Adminstrators,Non-Rural,20,15,-5,13,7,2,35.00%,
0010,Mapleton 1,Crafts/Trades/Services,Non-Rural,130,152,22,119,11,33,8.46%,
0010,Mapleton 1,Instructional Support,Non-Rural,36,44,8,23,13,21,36.11%,
0010,Mapleton 1,Office/Administrative Support,Non-Rural,63,64,1,52,11,12,17.46%,
0010,Mapleton 1,Other Support/Special Service Providers,Non-Rural,38,33,-5,28,10,5,26.32%,
0010,Mapleton 1,Paraprofessional,Non-Rural,145,157,12,118,27,39,18.62%,
0010,Mapleton 1,Principals,Non-Rural,38,38,0,36,2,2,5.26%,
0010,Mapleton 1,Professional-Other,Non-Rural,54,49,-5,35,19,14,35.19%,
0010,Mapleton 1,Teachers,Non-Rural,404,414,10,322,82,92,20.30%,
0010,Mapleton 1 Total,0010 All Job Catagories,Non-Rural,928,966,38,746,182,220,19.61%,
0020,Adams 12 Five Star Schools,Adminstrators,Non-Rural,22,25,3,19,3,6,13.64%,
0020,Adams 12 Five Star Schools,Crafts/Trades/Services,Non-Rural,643,617,-26,511,132,106,20.53%,
0020,Adams 12 Five Star Schools,Instructional Support,Non-Rural,375,378,3,315,60,63,16.00%,
0020,Adams 12 Five Star Schools,Office/Administrative Support,Non-Rural,284,275,-9,236,48,39,16.90%,
0020,Adams 12 Five Star Schools,Other Support/Special Service Providers,Non-Rural,253,255,2,199,54,56,21.34%,
0020,Adams 12 Five Star Schools,Paraprofessional,Non-Rural,970,960,-10,738,232,222,23.92%,
0020,Adams 12 Five Star Schools,Principals,Non-Rural,140,137,-3,120,20,17,14.29%,
0020,Adams 12 Five Star Schools,Professional-Other,Non-Rural,321,310,-11,259,62,51,19.31%,
0020,Adams 12 Five Star Schools,Teachers,Non-Rural,2080,2050,-30,1757,323,293,15.53%,
0020,Adams 12 Five Star Schools Total,0020 All Job Catagories,Non-Rural,5088,5007,-81,4154,934,853,18.36%,
0030,Adams County 14,Adminstrators,Non-Rural,24,40,16,17,7,23,29.17%,
0030,Adams County 14,Crafts/Trades/Services,Non-Rural,130,141,11,110,20,31,15.38%,
0030,Adams County 14,Instructional Support,Non-Rural,30,32,2,16,14,16,46.67%,
0030,Adams County 14,Office/Administrative Support,Non-Rural,45,45,0,37,8,8,17.78%,
0030,Adams County 14,Other Support/Special Service Providers,Non-Rural,23,25,2,10,13,15,56.52%,
0030,Adams County 14,Paraprofessional,Non-Rural,144,129,-15,113,31,16,21.53%,
0030,Adams County 14,Principals,Non-Rural,23,21,-2,15,8,6,34.78%,
0030,Adams County 14,Professional-Other,Non-Rural,47,38,-9,26,21,12,44.68%,
0030,Adams County 14,Teachers,Non-Rural,349,330,-19,261,88,69,25.21%,
0030,Adams County 14 Total,0030 All Job Catagories Totals,Non-Rural,815,801,-14,605,210,196,25.77%,
0040,School District 27J,Adminstrators,Non-Rural,28,35,7,23,5,12,17.86%,
0040,School District 27J,Crafts/Trades/Services,Non-Rural,234,297,63,181,53,116,22.65%,
0040,School District 27J,Instructional Support,Non-Rural,127,125,-2,100,27,25,21.26%,
0040,School District 27J,Office/Administrative Support,Non-Rural,118,133,15,92,26,41,22.03%,
0040,School District 27J,Other Support/Special Service Providers,Non-Rural,99,104,5,76,23,28,23.23%,
0040,School District 27J,Paraprofessional,Non-Rural,329,360,31,241,88,119,26.75%,
0040,School District 27J,Principals,Non-Rural,71,76,5,60,11,16,15.49%,
0040,School District 27J,Professional-Other,Non-Rural,60,64,4,47,13,17,21.67%,
0040,School District 27J,Teachers,Non-Rural,1226,1231,5,1045,181,186,14.76%,
0040,School District 27J Total,0040 All Job Catagories Totals,Non-Rural,2292,2425,133,1865,427,560,18.63%,
0050,Bennett 29J,Adminstrators,Rural,7,5,-2,3,4,2,57.14%,
0050,Bennett 29J,Crafts/Trades/Services,Rural,34,31,-3,25,9,6,26.47%,
0050,Bennett 29J,Instructional Support,Rural,10,10,0,6,4,4,40.00%,
0050,Bennett 29J,Office/Administrative Support,Rural,10,14,4,8,2,6,20.00%,
0050,Bennett 29J,Other Support/Special Service Providers,Rural,6,6,0,3,3,3,50.00%,
0050,Bennett 29J,Paraprofessional,Rural,28,29,1,15,13,14,46.43%,
0050,Bennett 29J,Principals,Rural,7,8,1,7,0,1,0.00%,
0050,Bennett 29J,Professional-Other,Rural,6,6,0,5,1,1,16.67%,
0050,Bennett 29J,Teachers,Rural,97,93,-4,63,34,30,35.05%,
0050,Bennett 29J Total,0050 All Job Catagories Totals,Rural,205,202,-3,135,70,67,34.15%,
0060,Strasburg 31J,Adminstrators,Rural,1,1,0,0,1,1,100.00%,
0060,Strasburg 31J,Crafts/Trades/Services,Rural,32,29,-3,27,5,2,15.63%,
0060,Strasburg 31J,Instructional Support,Rural,9,7,-2,6,3,1,33.33%,
0060,Strasburg 31J,Office/Administrative Support,Rural,7,6,-1,5,2,1,28.57%,
0060,Strasburg 31J,Other Support/Special Service Providers,Rural,3,3,0,3,0,0,0.00%,
0060,Strasburg 31J,Paraprofessional,Rural,30,32,2,21,9,11,30.00%,
0060,Strasburg 31J,Principals,Rural,5,7,2,4,1,3,20.00%,
0060,Strasburg 31J,Professional-Other,Rural,8,7,-1,4,4,3,50.00%,
0060,Strasburg 31J,Teachers,Rural,72,67,-5,55,17,12,23.61%,
0060,Strasburg 31J Total,0060 All Job Catagories Totals,Rural,167,159,-8,125,42,34,25.15%,
0070,Westminster Public Schools,Adminstrators,Non-Rural,25,22,-3,22,3,0,12.00%,
0070,Westminster Public Schools,Crafts/Trades/Services,Non-Rural,104,108,4,94,10,14,9.62%,
0070,Westminster Public Schools,Instructional Support,Non-Rural,38,50,12,25,13,25,34.21%,
0070,Westminster Public Schools,Office/Administrative Support,Non-Rural,88,89,1,74,14,15,15.91%,
0070,Westminster Public Schools,Other Support/Special Service Providers,Non-Rural,40,44,4,36,4,8,10.00%,
0070,Westminster Public Schools,Paraprofessional,Non-Rural,180,173,-7,146,34,27,18.89%,
0070,Westminster Public Schools,Principals,Non-Rural,35,33,-2,28,7,5,20.00%,
0070,Westminster Public Schools,Professional-Other,Non-Rural,35,34,-1,27,8,7,22.86%,
0070,Westminster Public Schools,Teachers,Non-Rural,443,427,-16,353,90,74,20.32%,
0070,Westminster Public Schools Total,0070 All Job Catagories Totals,Non-Rural,988,980,-8,805,183,175,18.52%,
0100,Alamosa RE-11J,Adminstrators,Rural,4,3,-1,3,1,0,25.00%,
0100,Alamosa RE-11J,Crafts/Trades/Services,Rural,68,68,0,58,10,10,14.71%,
0100,Alamosa RE-11J,Instructional Support,Rural,20,16,-4,16,4,0,20.00%,
0100,Alamosa RE-11J,Office/Administrative Support,Rural,18,17,-1,14,4,3,22.22%,
0100,Alamosa RE-11J,Other Support/Special Service Providers,Rural,6,6,0,6,0,0,0.00%,
0100,Alamosa RE-11J,Paraprofessional,Rural,34,45,11,26,8,19,23.53%,
0100,Alamosa RE-11J,Principals,Rural,11,11,0,8,3,3,27.27%,
0100,Alamosa RE-11J,Professional-Other,Rural,10,11,1,9,1,2,10.00%,
0100,Alamosa RE-11J,Teachers,Rural,134,136,2,121,13,15,9.70%,
0100,Alamosa RE-11J Total,0100 All Job Catagories Totals,Rural,305,313,8,261,44,52,14.43%,
0110,Sangre De Cristo Re-22J,Adminstrators,Small Rural,1,1,0,1,0,0,0.00%,
0110,Sangre De Cristo Re-22J,Crafts/Trades/Services,Small Rural,12,12,0,9,3,3,25.00%,
0110,Sangre De Cristo Re-22J,Instructional Support,Small Rural,4,4,0,2,2,2,50.00%,
0110,Sangre De Cristo Re-22J,Office/Administrative Support,Small Rural,2,2,0,1,1,1,50.00%,
0110,Sangre De Cristo Re-22J,Other Support/Special Service Providers,Small Rural,1,1,0,1,0,0,0.00%,
0110,Sangre De Cristo Re-22J,Paraprofessional,Small Rural,4,4,0,4,0,0,0.00%,
0110,Sangre De Cristo Re-22J,Principals,Small Rural,1,1,0,0,1,1,100.00%,
0110,Sangre De Cristo Re-22J,Professional-Other,Small Rural,1,1,0,1,0,0,0.00%,
0110,Sangre De Cristo Re-22J,Teachers,Small Rural,26,25,-1,22,4,3,15.38%,
0110,Sangre De Cristo Re-22J Total,0110 All Job Catagories Totals,Small Rural,52,51,-1,41,11,10,21.15%,
0120,Englewood 1,Adminstrators,Non-Rural,13,12,-1,9,4,3,30.77%,
0120,Englewood 1,Crafts/Trades/Services,Non-Rural,51,48,-3,36,15,12,29.41%,
0120,Englewood 1,Instructional Support,Non-Rural,22,22,0,14,8,8,36.36%,
0120,Englewood 1,Office/Administrative Support,Non-Rural,28,38,10,23,5,15,17.86%,
0120,Englewood 1,Other Support/Special Service Providers,Non-Rural,23,22,-1,19,4,3,17.39%,
0120,Englewood 1,Paraprofessional,Non-Rural,96,96,0,71,25,25,26.04%,
0120,Englewood 1,Principals,Non-Rural,12,15,3,10,2,5,16.67%,
0120,Englewood 1,Professional-Other,Non-Rural,19,20,1,14,5,6,26.32%,
0120,Englewood 1,Teachers,Non-Rural,168,170,2,135,33,35,19.64%,
0120,Englewood 1 Total,0120 All Job Catagories Totals,Non-Rural,432,443,11,331,101,112,23.38%,
0123,Sheridan 2,Adminstrators,Non-Rural,8,7,-1,3,5,4,62.50%,
0123,Sheridan 2,Crafts/Trades/Services,Non-Rural,39,32,-7,27,12,5,30.77%,
0123,Sheridan 2,Instructional Support,Non-Rural,11,6,-5,6,5,0,45.45%,
0123,Sheridan 2,Office/Administrative Support,Non-Rural,14,8,-6,7,7,1,50.00%,
0123,Sheridan 2,Other Support/Special Service Providers,Non-Rural,13,14,1,8,5,6,38.46%,
0123,Sheridan 2,Paraprofessional,Non-Rural,50,41,-9,30,20,11,40.00%,
0123,Sheridan 2,Principals,Non-Rural,7,6,-1,4,3,2,42.86%,
0123,Sheridan 2,Professional-Other,Non-Rural,15,15,0,14,1,1,6.67%,
0123,Sheridan 2,Teachers,Non-Rural,71,69,-2,40,31,29,43.66%,
0123,Sheridan 2 Total,0123 All Job Catagories Totals,Non-Rural,228,198,-30,139,89,59,39.04%,
0130,Cherry Creek 5,Adminstrators,Non-Rural,57,59,2,51,6,8,10.53%,
0130,Cherry Creek 5,Crafts/Trades/Services,Non-Rural,819,898,79,625,194,273,23.69%,
0130,Cherry Creek 5,Instructional Support,Non-Rural,345,475,130,289,56,186,16.23%,
0130,Cherry Creek 5,Office/Administrative Support,Non-Rural,511,515,4,430,81,85,15.85%,
0130,Cherry Creek 5,Other Support/Special Service Providers,Non-Rural,532,584,52,464,68,120,12.78%,
0130,Cherry Creek 5,Paraprofessional,Non-Rural,1758,1949,191,1336,422,613,24.00%,
0130,Cherry Creek 5,Principals,Non-Rural,162,160,-2,146,16,14,9.88%,
0130,Cherry Creek 5,Professional-Other,Non-Rural,413,450,37,363,50,87,12.11%,
0130,Cherry Creek 5,Teachers,Non-Rural,3335,3273,-62,2885,450,388,13.49%,
0130,Cherry Creek 5 Total,0130 All Job Catagories Totals,Non-Rural,7932,8363,431,6589,1343,1774,16.93%,
0140,Littleton 6,Adminstrators,Non-Rural,32,34,2,29,3,5,9.38%,
0140,Littleton 6,Crafts/Trades/Services,Non-Rural,252,278,26,197,55,81,21.83%,
0140,Littleton 6,Instructional Support,Non-Rural,82,82,0,62,20,20,24.39%,
0140,Littleton 6,Office/Administrative Support,Non-Rural,140,136,-4,112,28,24,20.00%,
0140,Littleton 6,Other Support/Special Service Providers,Non-Rural,112,115,3,90,22,25,19.64%,
0140,Littleton 6,Paraprofessional,Non-Rural,508,504,-4,356,152,148,29.92%,
0140,Littleton 6,Principals,Non-Rural,58,59,1,53,5,6,8.62%,
0140,Littleton 6,Professional-Other,Non-Rural,45,43,-2,34,11,9,24.44%,
0140,Littleton 6,Teachers,Non-Rural,788,784,-4,700,88,84,11.17%,
0140,Littleton 6 Total,0140 All Job Catagories Totals,Non-Rural,2017,2035,18,1633,384,402,19.04%,
0170,Deer Trail 26J,Adminstrators,Small Rural,1,1,0,1,0,0,0.00%,
0170,Deer Trail 26J,Crafts/Trades/Services,Small Rural,12,9,-3,7,5,2,41.67%,
0170,Deer Trail 26J,Instructional Support,Small Rural,1,4,3,1,0,3,0.00%,
0170,Deer Trail 26J,Office/Administrative Support,Small Rural,3,3,0,3,0,0,0.00%,
0170,Deer Trail 26J,Other Support/Special Service Providers,Small Rural,1,1,0,1,0,0,0.00%,
0170,Deer Trail 26J,Paraprofessional,Small Rural,11,9,-2,6,5,3,45.45%,
0170,Deer Trail 26J,Principals,Small Rural,2,2,0,2,0,0,0.00%,
0170,Deer Trail 26J,Professional-Other,Small Rural,2,2,0,2,0,0,0.00%,
0170,Deer Trail 26J,Teachers,Small Rural,28,28,0,21,7,7,25.00%,
0170,Deer Trail 26J Total,0170 All Job Catagories Totals,Small Rural,61,59,-2,44,17,15,27.87%,
0180,Adams-Arapahoe 28J,Adminstrators,Non-Rural,49,48,-1,32,17,16,34.69%,
0180,Adams-Arapahoe 28J,Crafts/Trades/Services,Non-Rural,552,613,61,473,79,140,14.31%,
0180,Adams-Arapahoe 28J,Instructional Support,Non-Rural,433,476,43,319,114,157,26.33%,
0180,Adams-Arapahoe 28J,Office/Administrative Support,Non-Rural,316,317,1,262,54,55,17.09%,
0180,Adams-Arapahoe 28J,Other Support/Special Service Providers,Non-Rural,354,373,19,263,91,110,25.71%,
0180,Adams-Arapahoe 28J,Paraprofessional,Non-Rural,885,949,64,679,206,270,23.28%,
0180,Adams-Arapahoe 28J,Principals,Non-Rural,171,160,-11,128,43,32,25.15%,
0180,Adams-Arapahoe 28J,Professional-Other,Non-Rural,393,435,42,336,57,99,14.50%,
0180,Adams-Arapahoe 28J,Teachers,Non-Rural,2339,2345,6,1848,491,497,20.99%,
0180,Adams-Arapahoe 28J Total,0180 All Job Catagories Totals,Non-Rural,5492,5716,224,4340,1152,1376,20.98%,
0190,Byers 32J,Adminstrators,Rural,12,12,0,11,1,1,8.33%,
0190,Byers 32J,Crafts/Trades/Services,Rural,13,15,2,10,3,5,23.08%,
0190,Byers 32J,Instructional Support,Rural,6,9,3,6,0,3,0.00%,
0190,Byers 32J,Office/Administrative Support,Rural,5,5,0,5,0,0,0.00%,
0190,Byers 32J,Other Support/Special Service Providers,Rural,8,8,0,8,0,0,0.00%,
0190,Byers 32J,Paraprofessional,Rural,46,39,-7,29,17,10,36.96%,
0190,Byers 32J,Principals,Rural,9,10,1,6,3,4,33.33%,
0190,Byers 32J,Professional-Other,Rural,2,6,4,1,1,5,50.00%,
0190,Byers 32J,Teachers,Rural,137,173,36,107,30,66,21.90%,
0190,Byers 32J Total,0190 All Job Catagories Totals,Rural,238,277,39,183,55,94,23.11%,
0220,Archuleta County 50 Jt,Adminstrators,Rural,5,4,-1,3,2,1,40.00%,
0220,Archuleta County 50 Jt,Crafts/Trades/Services,Rural,46,40,-6,31,15,9,32.61%,
0220,Archuleta County 50 Jt,Instructional Support,Rural,10,11,1,7,3,4,30.00%,
0220,Archuleta County 50 Jt,Office/Administrative Support,Rural,13,13,0,11,2,2,15.38%,
0220,Archuleta County 50 Jt,Other Support/Special Service Providers,Rural,0,0,0,0,0,0,NA,
0220,Archuleta County 50 Jt,Paraprofessional,Rural,42,42,0,32,10,10,23.81%,
0220,Archuleta County 50 Jt,Principals,Rural,9,9,0,8,1,1,11.11%,
0220,Archuleta County 50 Jt,Professional-Other,Rural,13,10,-3,10,3,0,23.08%,
0220,Archuleta County 50 Jt,Teachers,Rural,116,120,4,96,20,24,17.24%,
0220,Archuleta County 50 Jt Total,0220 All Job Catagories Totals,Rural,254,249,-5,198,56,51,22.05%,
0230,Walsh RE-1,Adminstrators,Small Rural,1,1,0,1,0,0,0.00%,
0230,Walsh RE-1,Crafts/Trades/Services,Small Rural,9,9,0,9,0,0,0.00%,
0230,Walsh RE-1,Instructional Support,Small Rural,1,1,0,1,0,0,0.00%,
0230,Walsh RE-1,Office/Administrative Support,Small Rural,3,3,0,3,0,0,0.00%,
0230,Walsh RE-1,Other Support/Special Service Providers,Small Rural,0,0,0,0,0,0,NA,
0230,Walsh RE-1,Paraprofessional,Small Rural,3,2,-1,2,1,0,33.33%,
0230,Walsh RE-1,Principals,Small Rural,1,1,0,1,0,0,0.00%,
0230,Walsh RE-1,Professional-Other,Small Rural,1,1,0,1,0,0,0.00%,
0230,Walsh RE-1,Teachers,Small Rural,19,17,-2,17,2,0,10.53%,
0230,Walsh RE-1 Total,0230 All Job Catagories Totals,Small Rural,38,35,-3,35,3,0,7.89%,
0240,Pritchett RE-3,Adminstrators,Small Rural,2,2,0,2,0,0,0.00%,
0240,Pritchett RE-3,Crafts/Trades/Services,Small Rural,5,4,-1,3,2,1,40.00%,
0240,Pritchett RE-3,Instructional Support,Small Rural,1,1,0,1,0,0,0.00%,
0240,Pritchett RE-3,Office/Administrative Support,Small Rural,1,1,0,1,0,0,0.00%,
0240,Pritchett RE-3,Other Support/Special Service Providers,Small Rural,0,0,0,0,0,0,NA,
0240,Pritchett RE-3,Paraprofessional,Small Rural,0,1,1,0,0,1,NA,
0240,Pritchett RE-3,Principals,Small Rural,0,0,0,0,0,0,NA,
0240,Pritchett RE-3,Professional-Other,Small Rural,0,0,0,0,0,0,NA,
0240,Pritchett RE-3,Teachers,Small Rural,10,11,1,9,1,2,10.00%,
0240,Pritchett RE-3 Total,0240 All Job Catagories Totals,Small Rural,19,20,1,16,3,4,15.79%,
0250,Springfield RE-4,Adminstrators,Small Rural,3,3,0,3,0,0,0.00%,
0250,Springfield RE-4,Crafts/Trades/Services,Small Rural,8,7,-1,4,4,3,50.00%,
0250,Springfield RE-4,Instructional Support,Small Rural,1,3,2,0,1,3,100.00%,
0250,Springfield RE-4,Office/Administrative Support,Small Rural,3,3,0,3,0,0,0.00%,
0250,Springfield RE-4,Other Support/Special Service Providers,Small Rural,1,0,-1,0,1,0,100.00%,
0250,Springfield RE-4,Paraprofessional,Small Rural,14,12,-2,6,8,6,57.14%,
0250,Springfield RE-4,Principals,Small Rural,2,2,0,2,0,0,0.00%,
0250,Springfield RE-4,Professional-Other,Small Rural,1,1,0,1,0,0,0.00%,
0250,Springfield RE-4,Teachers,Small Rural,32,31,-1,25,7,6,21.88%,
0250,Springfield RE-4 Total,0250 All Job Catagories Totals,Small Rural,65,62,-3,44,21,18,32.31%,
0260,Vilas RE-5,Adminstrators,Small Rural,1,1,0,1,0,0,0.00%,
0260,Vilas RE-5,Crafts/Trades/Services,Small Rural,4,3,-1,2,2,1,50.00%,
0260,Vilas RE-5,Instructional Support,Small Rural,1,0,-1,0,1,0,100.00%,
0260,Vilas RE-5,Office/Administrative Support,Small Rural,2,2,0,2,0,0,0.00%,
0260,Vilas RE-5,Other Support/Special Service Providers,Small Rural,0,0,0,0,0,0,NA,
0260,Vilas RE-5,Paraprofessional,Small Rural,3,3,0,3,0,0,0.00%,
0260,Vilas RE-5,Principals,Small Rural,0,1,1,0,0,1,NA,
0260,Vilas RE-5,Professional-Other,Small Rural,0,0,0,0,0,0,NA,
0260,Vilas RE-5,Teachers,Small Rural,10,9,-1,7,3,2,30.00%,
0260,Vilas RE-5 Total,0260 All Job Catagories Totals,Small Rural,21,19,-2,15,6,4,28.57%,
0270,Campo RE-6,Adminstrators,Small Rural,1,1,0,1,0,0,0.00%,
0270,Campo RE-6,Crafts/Trades/Services,Small Rural,4,4,0,3,1,1,25.00%,
0270,Campo RE-6,Instructional Support,Small Rural,0,0,0,0,0,0,NA,
0270,Campo RE-6,Office/Administrative Support,Small Rural,2,2,0,2,0,0,0.00%,
0270,Campo RE-6,Other Support/Special Service Providers,Small Rural,0,0,0,0,0,0,NA,
0270,Campo RE-6,Paraprofessional,Small Rural,4,6,2,3,1,3,25.00%,
0270,Campo RE-6,Principals,Small Rural,1,1,0,1,0,0,0.00%,
0270,Campo RE-6,Professional-Other,Small Rural,1,0,-1,0,1,0,100.00%,
0270,Campo RE-6,Teachers,Small Rural,7,8,1,7,0,1,0.00%,
0270,Campo RE-6 Total,0270 All Job Catagories Totals,Small Rural,20,22,2,17,3,5,15.00%,
0290,Las Animas RE-1,Adminstrators,Small Rural,5,3,-2,2,3,1,60.00%,
0290,Las Animas RE-1,Crafts/Trades/Services,Small Rural,9,10,1,8,1,2,11.11%,
0290,Las Animas RE-1,Instructional Support,Small Rural,6,4,-2,4,2,0,33.33%,
0290,Las Animas RE-1,Office/Administrative Support,Small Rural,8,6,-2,5,3,1,37.50%,
0290,Las Animas RE-1,Other Support/Special Service Providers,Small Rural,1,1,0,1,0,0,0.00%,
0290,Las Animas RE-1,Paraprofessional,Small Rural,58,60,2,51,7,9,12.07%,
0290,Las Animas RE-1,Principals,Small Rural,4,4,0,4,0,0,0.00%,
0290,Las Animas RE-1,Professional-Other,Small Rural,9,7,-2,7,2,0,22.22%,
0290,Las Animas RE-1,Teachers,Small Rural,37,38,1,35,2,3,5.41%,
0290,Las Animas RE-1 Total,0290 All Job Catagories Totals,Small Rural,137,133,-4,117,20,16,14.60%,
0310,McClave Re-2,Adminstrators,Small Rural,1,1,0,1,0,0,0.00%,
0310,McClave Re-2,Crafts/Trades/Services,Small Rural,6,5,-1,4,2,1,33.33%,
0310,McClave Re-2,Instructional Support,Small Rural,2,2,0,2,0,0,0.00%,
0310,McClave Re-2,Office/Administrative Support,Small Rural,3,3,0,3,0,0,0.00%,
0310,McClave Re-2,Other Support/Special Service Providers,Small Rural,0,0,0,0,0,0,NA,
0310,McClave Re-2,Paraprofessional,Small Rural,13,12,-1,11,2,1,15.38%,
0310,McClave Re-2,Principals,Small Rural,1,1,0,1,0,0,0.00%,
0310,McClave Re-2,Professional-Other,Small Rural,1,1,0,1,0,0,0.00%,
0310,McClave Re-2,Teachers,Small Rural,20,21,1,19,1,2,5.00%,
0310,McClave Re-2 Total,0310 All Job Catagories Totals,Small Rural,47,46,-1,42,5,4,10.64%,
0470,St Vrain Valley RE1J,Adminstrators,Non-Rural,70,70,0,62,8,8,11.43%,
0470,St Vrain Valley RE1J,Crafts/Trades/Services,Non-Rural,544,565,21,433,111,132,20.40%,
0470,St Vrain Valley RE1J,Instructional Support,Non-Rural,212,211,-1,182,30,29,14.15%,
0470,St Vrain Valley RE1J,Office/Administrative Support,Non-Rural,276,279,3,234,42,45,15.22%,
0470,St Vrain Valley RE1J,Other Support/Special Service Providers,Non-Rural,133,134,1,110,23,24,17.29%,
0470,St Vrain Valley RE1J,Paraprofessional,Non-Rural,837,857,20,650,187,207,22.34%,
0470,St Vrain Valley RE1J,Principals,Non-Rural,116,116,0,103,13,13,11.21%,
0470,St Vrain Valley RE1J,Professional-Other,Non-Rural,174,191,17,158,16,33,9.20%,
0470,St Vrain Valley RE1J,Teachers,Non-Rural,1975,1971,-4,1777,198,194,10.03%,
0470,St Vrain Valley RE1J Total,0470 All Job Catagories Totals,Non-Rural,4337,4394,57,3709,628,685,14.48%,
0480,Boulder Valley Re 2,Adminstrators,Non-Rural,71,72,1,63,8,9,11.27%,
0480,Boulder Valley Re 2,Crafts/Trades/Services,Non-Rural,568,571,3,471,97,100,17.08%,
0480,Boulder Valley Re 2,Instructional Support,Non-Rural,348,343,-5,262,86,81,24.71%,
0480,Boulder Valley Re 2,Office/Administrative Support,Non-Rural,259,253,-6,223,36,30,13.90%,
0480,Boulder Valley Re 2,Other Support/Special Service Providers,Non-Rural,153,160,7,141,12,19,7.84%,
0480,Boulder Valley Re 2,Paraprofessional,Non-Rural,892,891,-1,654,238,237,26.68%,
0480,Boulder Valley Re 2,Principals,Non-Rural,107,108,1,93,14,15,13.08%,
0480,Boulder Valley Re 2,Professional-Other,Non-Rural,235,235,0,206,29,29,12.34%,
0480,Boulder Valley Re 2,Teachers,Non-Rural,1721,1665,-56,1495,226,170,13.13%,
0480,Boulder Valley Re 2 Total,0480 All Job Catagories Totals,Non-Rural,4354,4298,-56,3608,746,690,17.13%,
0490,Buena Vista R-31,Adminstrators,Small Rural,3,3,0,1,2,2,66.67%,
0490,Buena Vista R-31,Crafts/Trades/Services,Small Rural,27,27,0,24,3,3,11.11%,
0490,Buena Vista R-31,Instructional Support,Small Rural,8,8,0,5,3,3,37.50%,
0490,Buena Vista R-31,Office/Administrative Support,Small Rural,3,5,2,3,0,2,0.00%,
0490,Buena Vista R-31,Other Support/Special Service Providers,Small Rural,8,6,-2,5,3,1,37.50%,
0490,Buena Vista R-31,Paraprofessional,Small Rural,37,44,7,28,9,16,24.32%,
0490,Buena Vista R-31,Principals,Small Rural,5,4,-1,4,1,0,20.00%,
0490,Buena Vista R-31,Professional-Other,Small Rural,19,16,-3,15,4,1,21.05%,
0490,Buena Vista R-31,Teachers,Small Rural,78,76,-2,61,17,15,21.79%,
0490,Buena Vista R-31 Total,0490 All Job Catagories Totals,Small Rural,188,189,1,146,42,43,22.34%,
0500,Salida R-32,Adminstrators,Rural,7,7,0,7,0,0,0.00%,
0500,Salida R-32,Crafts/Trades/Services,Rural,24,34,10,20,4,14,16.67%,
0500,Salida R-32,Instructional Support,Rural,17,14,-3,11,6,3,35.29%,
0500,Salida R-32,Office/Administrative Support,Rural,13,15,2,10,3,5,23.08%,
0500,Salida R-32,Other Support/Special Service Providers,Rural,13,11,-2,10,3,1,23.08%,
0500,Salida R-32,Paraprofessional,Rural,27,34,7,17,10,17,37.04%,
0500,Salida R-32,Principals,Rural,3,3,0,3,0,0,0.00%,
0500,Salida R-32,Professional-Other,Rural,4,5,1,3,1,2,25.00%,
0500,Salida R-32,Teachers,Rural,93,103,10,79,14,24,15.05%,
0500,Salida R-32 Total,0500 All Job Catagories Totals,Rural,201,226,25,160,41,66,20.40%,
